"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치년도,배관깊이,출수압력,배관지름,관할소방서명,관할소방서전화번호,데이터기준일자
"문산혁신2호",01,경상남도,진주시,48170,경상남도 진주시 에나로 228번길 10,,35.17020379,128.1426553,LH 10단지 저류지 옆,문산안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"문산혁신89호",01,경상남도,진주시,48170,경상남도 진주시 소호로 39,,35.17041623,128.1323185,한림풀에버 후문,문산안전센터,N,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
"미천3호",01,경상남도,진주시,48170,경상남도 진주시 미천면 상미로 469,,35.34080545,128.1427382,대곡마을 회관 앞 도로상,상대안전센터,Y,Y,2015,1,3,100,진주소방서,055-760-9296,2019-04-30
"미천1호",01,경상남도,진주시,48170,경상남도 진주시 진산로 1834,,35.31906139,128.0906211,중부농협 안간지소 앞,상대안전센터,N,Y,2009,1,3,100,진주소방서,055-760-9296,2019-04-30
"대곡2호",01,경상남도,진주시,48170,경상남도 진주시 월암로 457,,35.3171802,128.1608287,덕촌마을 마을회관 인근,상대안전센터,N,Y,1989,1,3,100,진주소방서,055-760-9296,2019-04-30
"미천2호",01,경상남도,진주시,48170,경상남도 진주시 오방로 731,,35.29921283,128.115381,마을회관 앞,상대안전센터,N,Y,2011,1,3,100,진주소방서,055-760-9296,2019-04-30
2-177,01,경상남도,진주시,48170,경상남도 진주시 남성로 689번길,,35.289216,128.056141,장흥마을회관 앞,평거안전센터,N,Y,2017,1,3,100,진주소방서,055-760-9296,2019-04-30
2-154,01,경상남도,진주시,48170,경상남도 진주시 외율길 37,,35.280939,127.9950915,외율마을회관 앞,평거안전센터,Y,Y,2016,1,3,100,진주소방서,055-760-9296,2019-04-30
2-153,01,경상남도,진주시,48170,경상남도 진주시 광제산로 685번길 116,,35.27540966,128.0310949,광제서원 앞,평거안전센터,Y,Y,2014,1,3,100,진주소방서,055-760-9296,2019-04-30
"대곡1호",01,경상남도,진주시,48170,경상남도 진주시 진의로 1093,,35.26433622,128.1688986,대곡면 사무소 건너 (대곡미용실 앞),상대안전센터,N,Y,1989,1,3,100,진주소방서,055-760-9296,2019-04-30
