시도,주차장명,주차장유형(노상/노외/부설),주소,위도,경도,관리기관,전화번호(주차장관리자),추가 연락처,20.1.24.(금) 개방시작시간,20.1.24.(금) 개방종료시간,20.1.25.(토) 개방시작시간,20.1.25.(토) 개방종료시간,20.1.26.(일) 개방시작시간,20.1.26.(일) 개방종료시간,20.1.27.(월) 개방시작시간,20.1.27.(월) 개방종료시간,특이사항,종일개방여부
부산광역시,가락동 행정복지센터,부설,부산광역시 강서구 가락대로 1476(죽림동),35.196387,128.901807,가락동 행정복지센터,051-970-2954,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,녹산동 행정복지센터,부설,부산광역시 강서구 가락대로 900번가길 32(범방동),35.15332,128.883741,녹산동 행정복지센터,051-970-4621,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,강서브라이트센터제2부설,부설,부산광역시 강서구 공항로 811번가길 30-1(대저2동),35.178649,128.956676,부산시 강서구청,051-970-4152,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,강서 브라이트센터,부설,부산광역시 강서구 공항로 811번길 10(대저2동),35.180181,128.957009,부산시 강서구청,051-970-4152,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,강서구청,부설,부산광역시 강서구 낙동북로 477(대저1동),35.212938,128.980565,부산시 강서구청,051-970-4152,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,대저1동 행정복지센터,부설,부산광역시 강서구 대저로 221번길 19,35.215407,128.976747,대저1동 행정복지센터,051-970-4409,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,대항공영주차장,노외,부산광역시 강서구 대항동 산13-26,35.01185,128.830059,부산시 강서구청,051-970-4562,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,가덕도동 행정복지센터,부설,부산광역시 강서구 동선길 10(성북동),35.05691,128.832319,가덕도동 행정복지센터,051-970-4637,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,명지중앙상가 공영주차장,노상,부산광역시 강서구 명지동 3282,35.084555,128.903976,부산시 강서구청,051-970-4562,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,명지2동 행정복지센터,부설,부산광역시 강서구 명지오션시티 11로 35(명지동),35.084543,128.900048,명지2동 행정복지센터,051-970-2988,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,녹산산단공영주차장,노외,부산광역시 강서구 송정동 1759,35.08393,128.84034,부산시 강서구청,051-970-4562,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,명지1동 행정복지센터,부설,부산광역시 강서구 영강길 19번길 58(명지동),35.108058,128.92655,명지1동 행정복지센터,051-970-4924,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,강동동 행정복지센터,부설,부산광역시 강서구 제도로 1171(강동동),35.214544,128.935449,강동동 행정복지센터,051-970-2932,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,천성~외양포간 도로2공구 공영주차장,노외,부산광역시 강서구 대항동 산13-29번지 일원,35.006998,128.826679,부산시 강서구청,051-970-4562,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,지양곡 공영주차장,노외,부산광역시 강서구 천성동 270-2번지 일원,35.02181,128.822795,부산시 강서구청,051-970-4562,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,행복마을 공영주차장,노외,부산광역시 강서구 명지동 3254-7,35.086691,128.910362,부산시 강서구청,051-970-4562,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,금정구민운동장,노외,부산광역시 금정구 두구동 산 80 일원,35.272201,129.098851,금정구청 총무과,051-519-4126,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,금정구청,노외,부산광역시 금정구 중앙대로 1777(부곡동),35.243088,129.092142,금정구청 재무과,051-519-4161,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,범어사상마공영,노외,부산광역시 금정구 청룡동435-19일원,35.2798631,129.0742632,금정구청 교통행정과,051-519-4512,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,선동주차장,노외,부산광역시 금정구 선동 720-2,35.26549,129.1094,금정구청 교통행정과,051-519-4512,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,기장군청,부설,부산광역시 기장군 기장읍 기장대로 560,35.244291,129.222983,기장군청,051-709-4163,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,기장읍사무소,부설,부산광역시 기장군 기장읍 차성동로5번길 10,35.238698,129.215811,기장읍사무소,051-709-5114,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,일광면사무소,부설,부산광역시 기장군 일광면 일광로 77-7,35.263916,129.232406,일광면사무소,051-709-5214,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,장안읍사무소,부설,부산광역시 기장군 장안읍 좌방길 5,35.313651,129.244171,장안읍사무소,051-709-5175,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,종일개방
부산광역시,백운1공원묘지,부설,부산광역시 기장군 정관면 두명리 산47,35.352686,129.158199,백운1공원묘지,051-508-2934,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,별도의 개방시간 없음.,종일개방
부산광역시,부산추모공원,부설,부산광역시 기장군 정관면 두명리 산79-6,35.250625,129.157274,부산추모공원,051-790-5100,,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,공원묘지참배객에한해서만 개방,종일개방
부산광역시,백운2공원묘지,부설,부산광역시 기장군 정관면 모전리 산88-7,35.331995,129.161516,백운2공원묘지,051-727-3188,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,별도의 개방시간 없음.,종일개방
부산광역시,대정공원묘지,부설,부산광역시 기장군 정관면 용수리 산115-10,35.329121,129.158484,대정공원묘지,051-728-4949,,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,별도의 개방시간 없음.,종일개방
