num,행정구역(구),행정구역(동),행정구역(리),지번,교차로 여부,신호등,가로길이(m),세로길이(m),면적(㎡),longitude,latitude
1,기장군,장안읍,-,산1-1,,Y,4,12,48,129.3028907,35.34049369
3,기장군,장안읍,-,산1-1,,Y,6,13,77,129.3029174,35.34064472
5,기장군,장안읍,-,산1-1,,Y,6,14,85,129.3027384,35.34065386
12,기장군,철마면,-,1008-52,,Y,8,17,142,129.1232316,35.33577368
13,강서구,강동동,-,661-1,,Y,8,36,283,128.9285118,35.22107583
14,기장군,철마면,-,402-1,,Y,6,14,88,129.1096704,35.30963574
15,금정구,두구동,-,산1,,Y,6,21,123,129.1080623,35.3077108
16,기장군,철마면,-,1008-65,,Y,6,19,113,129.115651,35.32264558
17,금정구,두구동,-,산1,,Y,7,27,135,129.107852,35.30759888
18,금정구,두구동,-,산1,,Y,6,17,98,129.1079176,35.30740008
20,금정구,두구동,-,1244-7,,Y,6,16,102,129.1074827,35.30667556
21,금정구,노포동,-,산37-7,,Y,6,11,57,129.080752,35.30405423
23,기장군,장안읍,-,산1-1,,Y,6,12,76,129.3027295,35.34049989
24,강서구,강동동,-,661-1,,Y,15,26,207,128.9293086,35.22157219
33,해운대구,반여동,-,1502-58,반석교앞,Y,11,7,73,129.1403223,35.21807008
42,해운대구,석대동,-,537-2,,Y,4,4,16,129.1207318,35.21819359
51,해운대구,우동,-,626-13,바다파출소,Y,6,13,81,129.1602898,35.15982234
59,해운대구,우동,-,1445,까르푸 뒤 사거리,Y,7,15,86,129.1467033,35.15707349
61,해운대구,좌동,-,1299,좌동초교(35),Y,12,6,77,129.1759312,35.17615191
62,해운대구,우동,-,1445,까르푸 뒤 사거리,Y,6,22,130,129.1466358,35.15724801
68,해운대구,우동,-,1408-2,마린시티 2지점,Y,6,16,95,129.1443057,35.15789465
69,해운대구,우동,-,1408-2,마린시티 2지점,Y,6,14,80,129.1439777,35.15801053
71,해운대구,우동,-,1446,마린시티 8지점,Y,6,12,74,129.1460919,35.15529589
74,해운대구,우동,-,1446,마린시티 8지점,Y,7,17,93,129.1459926,35.15543249
75,해운대구,우동,-,1446,마린시티 8지점,Y,7,19,109,129.1458467,35.15537263
76,해운대구,우동,-,1446,마린시티 8지점,Y,6,15,88,129.145912,35.15523738
80,해운대구,좌동,-,1313,좌동버스종점(24),Y,5,11,41,129.1783778,35.17373794
82,해운대구,우동,-,1406-7,마린시티 3지점,Y,6,12,71,129.1455055,35.15756612
85,해운대구,우동,-,1393,해운대소방서,Y,6,15,87,129.1428101,35.15978252
87,해운대구,우동,-,1445,대우마리나센터,Y,5,11,62,129.149212,35.15813567
90,해운대구,우동,-,1445,동백섬입구,Y,6,10,58,129.151061,35.15758578
106,해운대구,송정동,-,934,호민주유소,Y,6,14,81,129.2045492,35.1907793
119,해운대구,우동,-,634-1,해운대맨션(직결),Y,6,13,80,129.1579509,35.16024291
130,해운대구,좌동,-,1313,좌동버스종점(24),Y,7,23,131,129.177984,35.17391001
136,해운대구,우동,-,1445,까르푸 뒤 사거리,Y,6,15,89,129.1469244,35.15714712
137,해운대구,우동,-,1445,까르푸 뒤 사거리,Y,6,14,85,129.1468116,35.15735537
147,해운대구,중동,-,1524-2,,Y,7,28,163,129.1821306,35.16462595
153,해운대구,우동,-,1445,까멜리아아파트,Y,6,15,88,129.1482457,35.15657037
154,해운대구,우동,-,1445,까멜리아아파트,Y,6,15,92,129.1487749,35.15682144
161,해운대구,우동,-,1410,대우트럼프월드마린 C동앞,Y,6,23,140,129.1432808,35.15593705
162,해운대구,우동,-,1410,대우트럼프월드마린 C동앞,Y,6,20,116,129.1435294,35.15603577
163,해운대구,우동,-,1410,대우트럼프월드마린 C동앞,Y,6,24,140,129.1434052,35.15623757
165,해운대구,우동,-,1447,대우트럼프월드마린 A동 앞,Y,6,20,119,129.1428334,35.15484109
166,해운대구,우동,-,1447,대우트럼프월드마린 A동 앞,Y,6,17,99,129.1425816,35.15470716
179,해운대구,반여동,-,1218-2,반여동 탑마트,Y,5,12,43,129.120364,35.20451475
181,해운대구,우동,-,1408-2,마린시티 1지점,Y,4,17,67,129.1431744,35.15811872
184,해운대구,우동,-,1408-2,마린시티 1지점,Y,4,13,52,129.1433679,35.15818272
185,해운대구,우동,-,1408-2,마린시티 1지점,Y,4,15,60,129.1432282,35.15829793
187,해운대구,우동,-,1447,마린시티 5지점,Y,6,14,82,129.141645,35.15693595
